"Question","Answer"
"電話で問い合わせはできますか？","大変恐れ入りますが、yeniではお問い合わせのやり取りを記録に残すためチャットでのサポート対応を行っております。お電話での対応は行っていないため番号のご案内はできかねますこと、ご了承ください。"
"カスタマーサポートの営業時間はいつですか？","営業時間は平日10:00〜18:00です。土日祝日等、営業時間外のお問い合わせの対応はいたしかねます。なお、お客さまとのやりとりを記録を残すためにもサポート対応はチャットで行っております。お電話での対応はできませんのでご注意ください。※いただいたお問い合わせは2営業日以内に回答をお送りいたします。"
"取材やリースの依頼はできますか？","[メディア掲載・取材・リースをご希望の方]以下のメールアドレス宛にご連絡くださいませ。yeni-cs@newn.co"
"アカウント情報の変更はできますか？","住所のみ、お客さまご自身で変更が可能です。アカウント管理画面にログインの上、任意の住所へご変更ください。※お名前、電話番号、メールアドレスの変更をご希望の場合はこちらよりお知らせください。※クレジットカード決済の請求先情報は変更できません。"
"退会はできますか？","お客さまご自身では退会手続きができかねます。退会をご希望の場合は、恐れ入りますがこちらよりお知らせください。"
"注文と異なる商品が届きました","ご注文と異なる商品が届いた場合は、誠に申し訳ございませんが、商品到着から【7日以内】にこちらより届いた商品の写真データとあわせてご連絡いただけますでしょうか。早急に正しい商品を手配いたします。※販売状況により交換いたしかねる場合、返金にてご対応いたします。"
"届いた商品に破損・汚損がありました","商品に破損や汚損が見受けられる場合は、到着から【7日以内】にこちらより不良箇所の写真データとあわせて詳細な内容をお知らせください。問題箇所の確認ができましたら返品・交換手続きを進めさせていただきます。※到着後7日以上経過している場合は返品・交換を承ることができかねます。"
"返品・交換はできますか？","色やデザインがイメージと違う、好みではないなど、お客さま都合による返品・交換はできません。\n\n【ブラジャーのサイズ交換】単品でお求めいただいたブラジャーのみサイズ交換を承ります。配送完了後7日以内にチャットボタンよりご連絡ください。※ブラとショーツのセットなどセット商品のブラは対象外です。\n\n【ショーツの返品・交換】不良品・お届け間違いを除いて、返品・交換を承っておりません。直接肌に触れる衛生商品のためご了承ください。"
"領収書のPDFデータが開けません","発送完了メールには領収書のPDFデータのダウンロードリンクを記載しておりますが、ご利用の環境によってはデータが正しく表示されない恐れがございます。ご利用の端末や環境にあわせて適切なPDFビューアをインストールして再度お試しください。"
"領収書は発行できますか？","yeniでは発送完了メールへ領収書のダウンロードリンクを記載しております。リンク先より領収書のPDFデータをダウンロードしてお使いいただけます。なお、領収書の宛名へは自動的に購入者さまのお名前が入力される仕様です。別の宛名への変更はできかねます。"
"CTとは何ですか？","CTとは【Comsumption Tax】のイニシャルで【消費税】を意味しております。商品価格は内税表示ですので、消費税が追加で加算されているということはございません。"
"あと払い（ペイディ）を選択した際にエラーが発生しました","決済業者であるPaidy（ペイディ）では決済毎に与信審査を行っており、審査結果によってはあと払いをご利用いただけない場合がございます。「決済が承認されませんでした」というメッセージが表示された場合はあと払い以外のお支払い方法をご選択ください。※審査基準につきましては詳細なご案内ができかねます。"
"あと払い（ペイディ）の請求に関するメールが届きません","お支払い方法にあと払いが選択された場合はPaidyのメールアドレス（noreply@paidy.com）よりお支払いに関するメールが送信されます。迷惑メールフォルダなどをご確認ください。【ご利用確定日の翌月1日から3日の間】までにPaidy側で請求が確定しご案内メールが送信される仕様です。yeniではご案内メールの再送や請求情報の確認はできかねるため、お客さまご自身にてPaidyの窓口へお問い合わせください。"
"あと払い（ペイディ）とはなんですか？","あと払い（ペイディ）とは面倒な事前登録なくメールアドレスと携帯電話番号のみで簡単にお支払いができるサービスです。代金は銀行やコンビニなどで翌月以降にお支払いいただけます。ペイディプラスに無料登録すると、分割手数料無料の３回あと払いや毎月の予算設定などの機能を使うことができます。"
"注文時に使用したクレジットカードの情報は削除・変更できますか？","ご注文時に入力されたクレジットカード情報は後からご変更いただくことができません。また、yeniではお客さまのクレジットカード情報を保持しておりませんので、こちらで詳細な確認はできかねます。"
"クレジットカード決済を選択した際にエラーが発生しました","お支払いが完了せずにエラーが発生した場合、以下のような原因が考えられます。\n・カード情報の詳細（カード番号、セキュリティコード等）に誤りがある\n・カードの有効期限が切れている\n・カード会社による支払い拒否\nyeniでは原因の特定ができかねるため、ご利用のカード会社へ詳細をお尋ねくださいますようお願いいたします。"
"クレジットカード決済で指定した請求先の情報は変更はできますか？","受注システムの仕様上、請求先の宛名やご住所、電話番号の変更を承ることはできかねます。何卒ご了承ください。"
"注文完了後に支払い方法を変更できますか？","受注システムの仕様上、注文完了後にお支払い方法を変更することはできません。何卒ご了承ください。"
"いつ支払いが発生しますか？","クレジットカード/Amazon Pay: ご注文の確定後に請求が発生いたします。\nあと払い（ペイディ）: ご注文確定後の翌月1日に請求が確定いたします。"
"どのような支払い方法がありますか？","クレジットカード、あと払い（ペイディ）、Amazon Payにてお支払いが可能です。\n・クレジットカード: JCB / VISA / Master card / AMEX がご利用いただけます。※デビットカードはご利用いただけません。\n・あと払い（ペイディ）: メールアドレスと携帯電話番号のみで簡単にお支払いができるサービスです。\n・Amazon Pay: Amazon.co.jpに登録されているクレジットカード情報を利用してお支払いいただけます。"
"注文完了メールが届きません。注文はできていますか？","ご登録されているメールがキャリアメール（softbank、au、docomo）の場合、yeniからのメールが迷惑メールへ分類されている可能性や受信拒否設定がされている可能性があります。メールが届かない場合は、迷惑メールフォルダおよび受信設定をご確認ください。"
"注文が正しく完了しているか確認できますか？","ご注文が正常に完了した場合は、ご注文時のメールアドレスへ「ご注文完了メール（自動送信）」をお送りいたします。メールが届かない場合は、迷惑メールボックスをご確認ください。また、事前に自動送信メールアドレス（yeni-cs@newn.co）の受信許可設定を行われることをおすすめいたします。アカウント登録を行われている場合はアカウントページでもご注文履歴をご確認いただけます。"
"注文完了後に配送先の住所の変更はできますか？","商品の発送作業が行われる前でしたら配送先住所の変更を承ることが可能です。変更後の配送先情報を記載のうえ、こちらよりご連絡くださいませ。※商品の発送作業が進んでいる場合は変更を承ることができかねます。注文完了メールに記載されている配送業者と送り状番号（追跡番号）を確認し、配送業者の営業窓口へお届け先の変更をご依頼ください。"
"注文の一部をキャンセルできますか？","受注システムの仕様上、ご注文商品の一部キャンセルはできかねます。"
"注文完了後にカラーやサイズ、個数を変更できますか？","システムの仕様上、一度確定したご注文内容を変更することはできません。何卒ご了承ください。"
